code;name
EUR;Евро
BGN;Болгарский лев
GBP;Фунт стерлингов
THB;Тайский бат
CZK;Чешская крона
AMD;Армянский драм
VND;Вьетнамский донг
JPY;Японская иена
CNY;Юань
USD;Доллар США
PLN;Злотый
BYN;Белорусский рубль
TRY;Турецкая лира
KZT;Тенге
IDR;Индонезийская рупия
ILS;Новый израильский шекель
KRW;Вона
KGS;Киргизский сом
UZS;Узбекский сум
