id,name,system_name
467,На Московской  30,BAG1
470,На Малиновского,TYUM13
473,АЯС,BRN20
482,На Гурзуфской,SMF5
488,На Маршака 12/1,SPB1157
494,На Ломоносова,ARV1
498,На Воронежской 47Д,KSD218
500,Таганрогская,MSK121
509,Проспект Мира,MSK128
510,На 60 лет Октября  111а,KSK173
512,На Народной 5,SPB181
523,На Гагарина 99,YESS2
524,На Плеханова 44,KLG66
526,На Пугачева 1/2,ZME1
534,Пр-т Октябрьский,KEM6
538,Кропоткинская,MSK160
552,На Крымской 56,DNK4
558,На Баруди 20,KZN20
571,На Николая Корыткова  17А,TVR22
572,На Пушкарева,ULN15
580,На проспекте Гагарина  287/1,ALM124
591,На Спасской 6А,DMT4
603,Сеть Градусы - выдача,TOR3
622,На Ленина,KST12
625,Храм на Владимира Невского,VRN18
637,На Верхнепортовой 32,VLK89
639,2770 Постамат Халва,PRM119
642,"Воровского Бизнес пространство ""6/9""",TYUM46
658,На Богдана Хмельницкого 48А,UFA121
673,На Больничной  27А,YEVP4
680,На Ирчи Казака,MKHCH8
692,На Новой 16,YUZHN4
698,Охотный ряд,MSK205
718,На Крайней  1,KSK164
723,На Победы  8,CHE11
724,На Водниках,DLP6
733,На Коммунаров 122,KSD237
735,На Урицкого,YUKHN1
744,На Смоленском 32,TVR57
754,На Коровинском шоссе  22,MSK138
769,На Юности 1,NSK181
774,На Северном шоссе  2,RMN28
785,Симиренко,KSD37
789,На Полетаева,SAS1
794,6352 Постамат Халва,MSK1992
795,На Дагестанской 6,LEV2
800,На Первомайской 32,ISE1
801,Таможенный склад,ATM3
803,На Холодильной 15,TYUM179
810,СЦ (Нет приема/выдачи груза),MAY3
823,На Авиамоторной,MSK237
835,На Исполкомовской  33М,SML39
839,На Привокзальной,KST20
851,Золотые ворота,YAKT12
857,На Академика Понтекорво 5,DBN4
864,На Бачуринской 21,KAM27
879,На Матросова,VRN28
884,На Щипковском переулке 3,MSK2349
889,2700 Постамат Халва,SPB844
900,На Ленина  34А,KND1
917,На Якова Эшпая,YLA5
921,1472 Постамат Халва,SKT18
924,4630 Постамат Халва,VLK76
929,На Заславского,SRV6
934,На Чертыгашева,ABK1
941,ПФО «Суздаль,SUZ1
952,Хольцвайсигер 14,BTF2
955,На Беловежской,MSK340
3,На Губкина,SOL4
9,Океан,KZN45
17,На Георгия Бочарникова  12/2,KSD211
25,На Люблинской  76к2,MSK1945
39,4532 Постамат Халва,KOR10
48,0418 Постамат Халва,MSK1799
60,На микрорайоне Дружба  5/2,NUG18
68,д. Ликино  103,LIK2
76,На Звездной 5,PSK12
81,На Антонова,PNZ7
82,На Академика Королева  15,CHEL42
87,На Стаханова 65,LPTS11
90,На Декабрьских Событий  125,IRK31
95,На Акрихиновском шоссе  12,SPA1
96,На 9 Января  20,CHT4
100,На Мира 57А,KLTS5
105,На микрорайоне Берёзовый  6к21,SEL3
113,На Новой 1Д,GOS1
127,На Пушкина  65,BRK78
136,На Авангардной  16,MSK961
174,На Петрозаводской 11А,MSK2275
194,На Советской,BLKH1
198,На Ботанической,SCH28
201,На Доброй 8,LZR7
205,СЦ (нет приема/выдачи груза),NVR17
210,На Наставников  47 корп. 1,SPB287
213,Нет приема/выдачи Фулфилмент,MIN56
217,На Шувалова,BRK18
219,На Дмитрия Тараканова  29,KAT2
221,На Школьной 3А,MET3
231,На 1-м Капотнинском проезде 12с1,MSK1333
239,На Комсомольском пр-те,LYUB3
251,На 2-ом квартале  37,ENG21
270,На Тамбасова  3 корп.1  стр.1,SPB282
277,На Генерала Петренко 6,NAV2
279,1569 Постамат Халва,ORKH10
280,На Гражданской 95,CHBK7
290,0853 Постамат Халва,SOL15
293,Акварели,BLSH10
298,На Строителей  1А,PLZ1
302,СЦ (нет приема/выдачи груза),SAK1
323,На Омской 101  корп.19,KUR51
326,На Авроры 150/1  Центральный Автовокзал,SAM153
330,На Никитина,NSK94
331,На Курчатова 9,NSK65
340,На Молодежной,SAM24
359,На Титова 27А,PES1
391,На Ворошилова  7,MGN35
396,На Ленинградской  82,PPK3
409,4 мкр,LUCH1
420,На Пролетарской,SPB63
427,На Грибоедова 46,RZN87
432,3914 Постамат Халва,CHT21
439,ЖД Центральный,SCH24
447,На Копылова 76,KSK43
457,На Сосновой 4,SOYE8
459,На Колхозной  1,SUK3
464,На Ленина,APSH2
483,На Осенней  4к1,MSK622
486,На Чичерина  37Б,CHEL36
487,На Магистральной 6,TAK2
489,На проспекте Карла Маркса  246,SAM18
495,3258 Постамат Халва,MSK1995
496,На Тюляева,KSD85
497,На Искровском  6к4,SPB72
501,На Юрина  188Б,BRN29
508,На Дружбы  74а,KZL4
514,1107 Постамат Халва,MSK1731
528,На Дериглазова 123,KRS12
529,На Майолик,KHOT2
530,На Талнахской  63а,NRS9
532,На Комсомольской  2,KHI3
535,На Кривощековской,NSK1
544,Малиновка,MIN16
545,На Ленинградском,VBR1
548,На 2-м Грайвороновском проезде 42к4,MSK2296
551,На Малой Боровской  28к1,TYUM174
565,На Евстафьева  1/9,BLSH62
579,На Космонавтов,KRL4
584,На Малой  4 стр.1,CHT3
585,На Шинников 3,NZHK3
588,Пр-т Строителей,VLD4
592,На Берендеевской,PRZ1
594,На Сююмбике,NCHL6
598,Custom office USA,ALM160
602,Бойцов 9 Дивизии,KRS3
623,мкр. Аксай-4  70Б,ALM36
628,На Ленина 25А,PVS11
634,2867 Постамат Халва,SPB1080
636,На Бардина,YEKB56
645,На Каховской  19,SAM30
651,На Главном  16/2,YAG1
662,На Маяковского,SIB1
665,На Ленина 24,TOM49
669,На 1-ой Рабочей  38,ATM4
672,На Куконковых  141А,IVN7
677,На Вайнера,EKB8
679,2939 Постамат Халва,MGN33
697,На Филевском бульваре  10,MSK1784
705,На Загира Арухова 101,BEL7
707,Европа,KSD72
712,На Вавилова 97,MSK962
737,На Свердлова,KIR2
753,На Фрунзе,YARS14
761,На Ясной 1 корп. 1  ЖК Весна,APR6
764,На Пирогова 13с1,NKHD7
766,На Советской,KACH2
775,На Заповедной,IUK1
778,6099 Постамат СДЭК,KSK53
784,2289 Постамат Халва,PRM116
793,На Рабочей 62,BZN1
805,На Соколово-Мещерской  14,MSK381
828,На Опалихинской 40,YEKB227
834,На Ленина,VLG35
842,Березовая Роща,NSK25
844,На Щорса  78,KSK112
849,На 50 лет Октября,MNV3
856,На Советской площади  3,BRZ3
865,3405 Постамат Халва,MSK1509
869,На Победы 21,NBK10
872,СЦ (нет приема/выдачи груза),KSL3
891,На Ленина 66,POC1
894,На Буденновском 120/1,RND58
899,На Малом Понизовье 3  Филатов Луг,SOYE25
920,На Розы Люксембург  124А,BUI3
4,На Крымской,RMN2
8,3349 Постамат Халва,BLD60
29,СЦ (прием/выдача тяжелых грузов  LTL),ZLN10
34,5273 Постамат Халва,KIR8
41,На пер. 17 Новый,TGN6
42,На Рядового Иванова  2,KZM1
51,На Александровской,VSL4
53,На Первомайской  34,KOB1
59,На Железнодорожной  24,SHCHEB12
66,0877 Постамат Халва,YEKB298
70,На Есенина 13,BEL8
75,Солнечная,KSD28
77,На Ленинградском проспекте,ANG5
80,На Зорге  70/1,RND169
84,На Базовской  15к5,MSK1247
93,На Ленина  15,NVR40
94,На Валдайской,SHUSH4
99,На Октябрьской наб. 34к2  ЖК Пульс,SPB1140
109,2556 Постамат Халва,MSK1696
126,Коптево,MSK308
130,На Усть-Курдюмской,SAR29
139,На Лесной  17,OTR5
142,На Богдана Хмельницкого,VRN20
143,На Патона,NTG12
190,На Зои Космодемьянской  3,SAM160
192,На Пролетарской  71,ROS9
193,На Школьной  1/2,LOR1
197,На Бабушкинской,MSK38
207,На Гагарина 89Д,KIR14
223,На Молодогвардейской 2Б/3,SCH15
225,На Галактионова  6,KZN51
247,На Новой,YANN1
260,На Первомайской 71/1,UFA38
261,Бориса Галушкина,MSK360
262,На Дорожной 57,POS5
282,На Ковтюха 158,SKB2
301,На Тюменском тракте 8,SUR11
308,пер. Банковский 2Б,TAL3
319,На Мусы Джалиля,NCHL10
322,На Почтовой,BOR4
325,На Говорова 27А,TOM94
334,4164 Постамат Халва,MSK1908
341,На Маринеско  1Б/2,SVT51
346,На Рабочей,IST8
348,На Байкальской  346/8,IRK81
354,На Ленина  39,CHEB1
356,На Триумфальной  3,ODN79
360,СЦ (нет приема/выдача  LTL),PTG6
414,На Фридриха Энгельса  18,PRM176
428,На Степана Разина  80,YEKB24
436,На Зенкова 22,ALM28
446,На Комарова 8,UFA126
456,На Комсомольской 2,NSK333
461,На Гвардейской 39А,UFA119
465,На Оренбургской 18,MSK1312
490,6092 Постамат Халва,SPB1125
493,На Транспортной,TGN10
502,СЦ (нет приема/выдачи),KZN17
513,На Белобородова  2 корп. 2,MTSHCH16
516,На Банковской,SLG5
519,На Кропоткина,NSK85
522,Цветной бульвар,MSK107
531,3900 Постамат Халва,VLZ14
